NHL,Tampa Bay Lightning,2022-2023 Regular Season, 16
NHL,Tampa Bay Lightning,2022-2023 Preseason, 4
NHL,Tampa Bay Lightning,2021-2022 Postseason, 4
NHL,Tampa Bay Lightning,2021-2022 Regular Season, 31
NHL,Tampa Bay Lightning,2021-2022 Preseason, 7
NHL,Tampa Bay Lightning,2020-2021 Postseason, 3
NHL,Tampa Bay Lightning,2020-2021 Regular Season, 23
NHL,Tampa Bay Lightning,2019-2020 Postseason, 7
NHL,Tampa Bay Lightning,2019-2020 Preseason, 5
NHL,Tampa Bay Lightning,2019-2020 Regular Season, 17
NHL,St Louis Blues,2022-2023 Regular Season, 7
NHL,St Louis Blues,2022-2023 Preseason, 3
NHL,St Louis Blues,2021-2022 Regular Season, 11
NHL,St Louis Blues,2021-2022 Preseason, 4
NHL,St Louis Blues,2020-2021 Postseason, 1
NHL,St Louis Blues,2020-2021 Regular Season, 16
NHL,St Louis Blues,2019-2020 Postseason, 1
NHL,St Louis Blues,2019-2020 Preseason, 2
NHL,St Louis Blues,2019-2020 Regular Season, 7
NHL,St Louis Blues,2018-2019 Regular Season, 14
NHL,Washington Capitals,2022-2023 Regular Season, 10
NHL,Washington Capitals,2022-2023 Preseason, 1
NHL,Washington Capitals,2021-2022 Postseason, 1
NHL,Washington Capitals,2021-2022 Regular Season, 11
NHL,Washington Capitals,2021-2022 Preseason, 2
NHL,Washington Capitals,2020-2021 Regular Season, 18
NHL,Washington Capitals,2019-2020 Postseason, 2
NHL,Washington Capitals,2019-2020 Preseason, 4
NHL,Washington Capitals,2019-2020 Regular Season, 17
NHL,Washington Capitals,2018-2019 Postseason, 1
NHL,Seattle Kraken,2022-2023 Regular Season, 12
NHL,Seattle Kraken,2022-2023 Preseason, 2
NHL,Seattle Kraken,2021-2022 Regular Season, 26
NHL,Seattle Kraken,2021-2022 Preseason, 2
NHL,Pittsburgh Penguins,2022-2023 Regular Season, 2
NHL,Pittsburgh Penguins,2022-2023 Preseason, 2
NHL,Pittsburgh Penguins,2021-2022 Regular Season, 12
NHL,Pittsburgh Penguins,2021-2022 Preseason, 3
NHL,Pittsburgh Penguins,2020-2021 Regular Season, 8
NHL,Pittsburgh Penguins,2019-2020 Regular Season, 7
NHL,Pittsburgh Penguins,2018-2019 Regular Season, 16
NHL,Pittsburgh Penguins,2017-2018 Postseason, 2
NHL,Pittsburgh Penguins,2017-2018 Regular Season, 15
NHL,Pittsburgh Penguins,2016-2017 Postseason, 4
AHL,Chicago Wolves,2022-2023 Regular Season, 8
AHL,Chicago Wolves,2021-2022 Regular Season, 25
AHL,Chicago Wolves,2021-2022 Preseason, 4
AHL,Chicago Wolves,2020-2021 Regular Season, 23
AHL,Chicago Wolves,2019-2020 Regular Season, 20
AHL,Chicago Wolves,2019-2020 Preseason, 1
AHL,Chicago Wolves,2018-2019 Postseason, 5
AHL,Chicago Wolves,2018-2019 Regular Season, 31
AHL,Chicago Wolves,2018-2019 Preseason, 2
AHL,Chicago Wolves,2017-2018 Regular Season, 24
AHL,Grand Rapids Griffins,2022-2023 Regular Season, 6
AHL,Grand Rapids Griffins,2021-2022 Regular Season, 26
AHL,Grand Rapids Griffins,2020-2021 Regular Season, 22
AHL,Grand Rapids Griffins,2019-2020 Regular Season, 17
AHL,Grand Rapids Griffins,2018-2019 Postseason, 2
AHL,Grand Rapids Griffins,2018-2019 Regular Season, 25
AHL,Grand Rapids Griffins,2017-2018 Regular Season, 32
AHL,Grand Rapids Griffins,2016-2017 Postseason, 2
AHL,Grand Rapids Griffins,2016-2017 Regular Season, 22
AHL,Grand Rapids Griffins,2016-2017 Preseason, 1
AHL,Hartford Wolf Pack,2022-2023 Regular Season, 13
AHL,Hartford Wolf Pack,2021-2022 Regular Season, 19
AHL,Hartford Wolf Pack,2021-2022 Preseason, 1
AHL,Hartford Wolf Pack,2020-2021 Regular Season, 16
AHL,Hartford Wolf Pack,2019-2020 Regular Season, 18
AHL,Hartford Wolf Pack,2019-2020 Preseason, 4
AHL,Hartford Wolf Pack,2018-2019 Regular Season, 32
AHL,Hartford Wolf Pack,2018-2019 Preseason, 1
AHL,Hartford Wolf Pack,2017-2018 Regular Season, 29
AHL,Hartford Wolf Pack,2016-2017 Regular Season, 25
AHL,Hershey Bears,2022-2023 Regular Season, 9
AHL,Hershey Bears,2021-2022 Postseason, 1
AHL,Hershey Bears,2021-2022 Regular Season, 26
AHL,Hershey Bears,2021-2022 Preseason, 7
AHL,Hershey Bears,2020-2021 Regular Season, 15
AHL,Hershey Bears,2019-2020 Regular Season, 18
AHL,Hershey Bears,2019-2020 Preseason, 1
AHL,Hershey Bears,2018-2019 Postseason, 2
AHL,Hershey Bears,2018-2019 Regular Season, 33
AHL,Hershey Bears,2017-2018 Regular Season, 34
AHL,Milwaukee Admirals,2022-2023 Regular Season, 12
AHL,Milwaukee Admirals,2021-2022 Regular Season, 37
AHL,Milwaukee Admirals,2021-2022 Preseason, 4
AHL,Milwaukee Admirals,2019-2020 Regular Season, 34
AHL,Milwaukee Admirals,2019-2020 Preseason, 2
AHL,Milwaukee Admirals,2018-2019 Postseason, 1
AHL,Milwaukee Admirals,2018-2019 Regular Season, 37
AHL,Milwaukee Admirals,2018-2019 Preseason, 2
AHL,Milwaukee Admirals,2017-2018 Regular Season, 23
AHL,Milwaukee Admirals,2016-2017 Regular Season, 40
AHL,Lehigh Valley Phantoms,2022-2023 Regular Season, 12
AHL,Lehigh Valley Phantoms,2021-2022 Regular Season, 21
AHL,Lehigh Valley Phantoms,2021-2022 Preseason, 5
AHL,Lehigh Valley Phantoms,2020-2021 Regular Season, 12
AHL,Lehigh Valley Phantoms,2019-2020 Regular Season, 12
AHL,Lehigh Valley Phantoms,2018-2019 Regular Season, 25
AHL,Lehigh Valley Phantoms,2017-2018 Regular Season, 19
AHL,Lehigh Valley Phantoms,2016-2017 Postseason, 1
AHL,Lehigh Valley Phantoms,2016-2017 Regular Season, 29
AHL,Lehigh Valley Phantoms,2015-2016 Regular Season, 35
AHL,Providence Bruins,2022-2023 Regular Season, 18
AHL,Providence Bruins,2021-2022 Regular Season, 30
AHL,Providence Bruins,2020-2021 Regular Season, 18
AHL,Providence Bruins,2019-2020 Regular Season, 28
AHL,Providence Bruins,2019-2020 Preseason, 1
AHL,Providence Bruins,2018-2019 Postseason, 1
AHL,Providence Bruins,2018-2019 Regular Season, 27
AHL,Providence Bruins,2018-2019 Preseason, 2
AHL,Providence Bruins,2017-2018 Regular Season, 30
AHL,Providence Bruins,2016-2017 Postseason, 3
AHL,Rochester Americans,2022-2023 Regular Season, 8
AHL,Rochester Americans,2021-2022 Postseason, 2
AHL,Rochester Americans,2021-2022 Regular Season, 31
AHL,Rochester Americans,2021-2022 Preseason, 1
AHL,Rochester Americans,2020-2021 Regular Season, 12
AHL,Rochester Americans,2019-2020 Regular Season, 16
AHL,Rochester Americans,2019-2020 Preseason, 1
AHL,Rochester Americans,2018-2019 Postseason, 1
AHL,Rochester Americans,2018-2019 Regular Season, 24
AHL,Rochester Americans,2018-2019 Preseason, 2
AHL,Syracuse Crunch,2022-2023 Regular Season, 17
AHL,Syracuse Crunch,2021-2022 Regular Season, 27
AHL,Syracuse Crunch,2021-2022 Preseason, 1
AHL,Syracuse Crunch,2020-2021 Regular Season, 9
AHL,Syracuse Crunch,2020-2021 Preseason, 1
AHL,Syracuse Crunch,2019-2020 Regular Season, 16
AHL,Syracuse Crunch,2019-2020 Preseason, 1
AHL,Syracuse Crunch,2018-2019 Postseason, 1
AHL,Syracuse Crunch,2018-2019 Regular Season, 27
AHL,Syracuse Crunch,2017-2018 Regular Season, 33
AHL,Wilkes-Barre Scranton Penguins,2022-2023 Regular Season, 10
AHL,Wilkes-Barre Scranton Penguins,2021-2022 Postseason, 1
AHL,Wilkes-Barre Scranton Penguins,2021-2022 Regular Season, 19
AHL,Wilkes-Barre Scranton Penguins,2021-2022 Preseason, 6
AHL,Wilkes-Barre Scranton Penguins,2020-2021 Regular Season, 16
AHL,Wilkes-Barre Scranton Penguins,2019-2020 Regular Season, 22
AHL,Wilkes-Barre Scranton Penguins,2019-2020 Preseason, 1
AHL,Wilkes-Barre Scranton Penguins,2018-2019 Regular Season, 49
AHL,Wilkes-Barre Scranton Penguins,2017-2018 Regular Season, 35
AHL,Wilkes-Barre Scranton Penguins,2016-2017 Postseason, 2
AHL,Toronto Marlies,2022-2023 Regular Season, 10
AHL,Toronto Marlies,2021-2022 Regular Season, 27
AHL,Toronto Marlies,2021-2022 Preseason, 1
AHL,Toronto Marlies,2020-2021 Regular Season, 13
AHL,Toronto Marlies,2019-2020 Regular Season, 15
AHL,Toronto Marlies,2018-2019 Postseason, 1
AHL,Toronto Marlies,2018-2019 Regular Season, 20
AHL,Toronto Marlies,2018-2019 Preseason, 2
AHL,Toronto Marlies,2017-2018 Regular Season, 18
AHL,Toronto Marlies,2016-2017 Postseason, 2
AHL,Rockford IceHogs,2022-2023 Regular Season, 9
AHL,Rockford IceHogs,2021-2022 Regular Season, 35
AHL,Rockford IceHogs,2020-2021 Regular Season, 17
AHL,Rockford IceHogs,2019-2020 Regular Season, 24
AHL,Rockford IceHogs,2018-2019 Regular Season, 19
AHL,Rockford IceHogs,2017-2018 Postseason, 1
AHL,Rockford IceHogs,2017-2018 Regular Season, 11
AHL,Rockford IceHogs,2016-2017 Regular Season, 39
AHL,Rockford IceHogs,2016-2017 Preseason, 3
AHL,Rockford IceHogs,2015-2016 Regular Season, 59
AHL,Cleveland Monsters,2022-2023 Regular Season, 8
AHL,Cleveland Monsters,2021-2022 Regular Season, 30
AHL,Cleveland Monsters,2020-2021 Regular Season, 17
AHL,Cleveland Monsters,2019-2020 Regular Season, 15
AHL,Cleveland Monsters,2018-2019 Postseason, 1
AHL,Cleveland Monsters,2018-2019 Regular Season, 20
AHL,Cleveland Monsters,2017-2018 Regular Season, 38
AHL,Cleveland Monsters,2016-2017 Regular Season, 31
AHL,Cleveland Monsters,2015-2016 Postseason, 3
AHL,Cleveland Monsters,2015-2016 Regular Season, 49
AHL,Texas Stars,2022-2023 Regular Season, 7
AHL,Texas Stars,2021-2022 Regular Season, 33
AHL,Texas Stars,2020-2021 Regular Season, 11
AHL,Texas Stars,2019-2020 Regular Season, 21
AHL,Texas Stars,2018-2019 Regular Season, 21
AHL,Texas Stars,2017-2018 Postseason, 2
AHL,Texas Stars,2017-2018 Regular Season, 27
AHL,Texas Stars,2016-2017 Regular Season, 35
AHL,Texas Stars,2016-2017 Preseason, 2
AHL,Texas Stars,2015-2016 Regular Season, 16
AHL,Charlotte Checkers,2022-2023 Regular Season, 12
AHL,Charlotte Checkers,2021-2022 Postseason, 2
AHL,Charlotte Checkers,2021-2022 Regular Season, 24
AHL,Charlotte Checkers,2019-2020 Regular Season, 21
AHL,Charlotte Checkers,2018-2019 Postseason, 4
AHL,Charlotte Checkers,2018-2019 Regular Season, 26
AHL,Charlotte Checkers,2017-2018 Regular Season, 23
AHL,Charlotte Checkers,2016-2017 Postseason, 2
AHL,Charlotte Checkers,2016-2017 Regular Season, 25
AHL,Charlotte Checkers,2015-2016 Regular Season, 54
AHL,Iowa Wild,2022-2023 Regular Season, 15
AHL,Iowa Wild,2021-2022 Regular Season, 37
AHL,Iowa Wild,2020-2021 Regular Season, 35
AHL,Iowa Wild,2019-2020 Regular Season, 36
AHL,Iowa Wild,2018-2019 Postseason, 1
AHL,Iowa Wild,2018-2019 Regular Season, 23
AHL,Iowa Wild,2017-2018 Regular Season, 25
AHL,Iowa Wild,2016-2017 Regular Season, 28
AHL,Iowa Wild,2016-2017 Preseason, 1
AHL,Iowa Wild,2015-2016 Regular Season, 53
AHL,Bakersfield Condors,2022-2023 Regular Season, 14
AHL,Bakersfield Condors,2021-2022 Postseason, 1
AHL,Bakersfield Condors,2021-2022 Regular Season, 15
AHL,Bakersfield Condors,2020-2021 Postseason, 1
AHL,Bakersfield Condors,2020-2021 Regular Season, 12
AHL,Bakersfield Condors,2019-2020 Regular Season, 17
AHL,Bakersfield Condors,2019-2020 Preseason, 5
AHL,Bakersfield Condors,2018-2019 Postseason, 2
AHL,Bakersfield Condors,2018-2019 Regular Season, 20
AHL,Bakersfield Condors,2017-2018 Regular Season, 25
AHL,Ontario Reign,2022-2023 Regular Season, 12
AHL,Ontario Reign,2021-2022 Postseason, 1
AHL,Ontario Reign,2021-2022 Regular Season, 26
AHL,Ontario Reign,2021-2022 Preseason, 2
AHL,Ontario Reign,2020-2021 Postseason, 1
AHL,Ontario Reign,2020-2021 Regular Season, 16
AHL,Ontario Reign,2020-2021 Preseason, 1
AHL,Ontario Reign,2019-2020 Regular Season, 18
AHL,Ontario Reign,2019-2020 Preseason, 3
